SER,DATE,SPECIES,SEX,MATURITY,WEIGHT,GRID REF,LOCATION,TIME of DAY,,,,,,,,,
1,08-Apr-23,FALLOW,M,FAWN,,600 393,,,,,,,,,,,
2,08-Apr-23,MUNTJAC,M,BUCK,,601 394,,,,,,,,,,,
3,08-Apr-23,FOX,F,VIXEN,,598 392,,,,,,,,,,,
4,18-Apr-23,FALLOW,M,PRICKET,,608 384,Little hill highseat,,,,,,,,,,
5,19-May-23,FOX,F,VIXEN,,610 380,,,,,,,,,,,
6,19-May-23,MUNTJAC,M,BUCK,,608 382,,,,,,,,,,,
7,01-Jun-23,MUNTJAC,M,BUCK,,601 396,,,,,,,,,,,
8,11-Jun-23,MUNTJAC,M,BUCK,,N/K,,,,,,,,,,,
9,05-Jul-23,ROE,M,6 PT BUCK,,614 391,Highnam Farm,,,,,,,,,,
10,09-Jul-23,MUNTJAC,M,BUCK,,597 396,,,,,,,,,,,
11,21-Jul-23,MUNTJAC,M,BUCK,10,610 387,,,,,,,,,,,
12,22-Jul-23,MUNTJAC,F,DOE,9,600 392,,,,,,,,,,,
13,23-Jul-23,ROE,M,4 PT BUCK,18,608 394,,,,,,,,,,,
14,23-Jul-23,FOX,M,DOG,N/A,614 400,,,,,,,,,,,
15,23-Jul-23,FOX,F,VIXEN,N/A,614 400,,,,,,,,,,,
16,01-Aug-23,FALLOW,M,PRICKET,,610 395,TARRINGTON COMMON,PM,,,,,,,,,
17,02-Aug-23,FALLOW,M,PRICKET,32,610 401,TARRINGTON COMMON,PM,,,,,,,,,
18,02-Aug-23,FALLOW,M,PRICKET,33,610 401,TARRINGTON COMMON,PM,,,,,,,,,
19,04-Aug-23,FALLOW,M,PRICKET,34,608 397,TARRINGTON COMMON,PM,,,,,,,,,
20,05-Aug-23,FALLOW,M,PRICKET,36,613 381,BACKBURY HILL,PM,,,,,,,,,
21,05-Aug-23,FALLOW,M,SORREL,49,613 381,BACKBURY HILL,PM,,,,,,,,,
22,05-Aug-23,FALLOW,M,PRICKET,35,596 387,BACKBURY HILL,PM,,,,,,,,,
23,05-Aug-23,FOX,,,,,BACKBURY HILL,PM,,,,,,,,,
24,06-Aug-23,FALLOW,M,FAWN,22,583 393,DORMINGTON WOODS,AM,,,,,,,,,
,06-Aug-23,MUNTJAC,F,DOE,8,624 364,DEVERAUX PONDS,AM,,,,,,,,,
25,06-Aug-23,MUNTJAC,M,BUCK,8,623 373,DEVERAUX PONDS,AM,,,,,,,,,
26,06-Aug-23,FOX,,,,617 388,HIGHNAM FARM,PM,,,,,,,,,
27,07-Aug-23,FALLOW,F,DOE,35,596 395,COPGROVE FARM,PM,,,,,,,,,
28,08-Aug-23,FALLOW,M,PRICKET,34.5,608 397,TARRINGTON COMMON,PM,,,,,,,,,
29,09-Aug-23,FALLOW,M,PRICKET,25,608 387,PLANTATION,AM,,,,,,,,,
30,15-Aug-23,FOX,,,,607 414,TARRINGTON COMMON,PM,,,,,,,,,
31,17-Aug-23,MUNTJAC,M,BUCK,8,623 382,TARRINGTON COMMON,PM,,,,,,,,,
32,27-Aug-23,ROE,M,6 PT BUCK,19,610 389,SILO,PM,,,,,,,,,
33,31-Aug-23,FALLOW,M,PRICKET,35,619 394,TARRINGTON COMMON,PM,,,,,,,,,
34,01-Sep-23,MUNTJAC,M,BUCK,,624 369,DEVERAUX PONDS,PM,,,,,,,,,
35,01-Sep-23,FALLOW,M,PRICKET,40,619 393,TARRINGTON COMMON,PM,,,,,,,,,
36,01-Sep-23,FOX,,,,618 395,TARRINGTON COMMON,PM,,,,,,,,,
37,05-Sep-23,FALLOW,M,PRICKET,39,618 396,TARRINGTON COMMON,PM,,,,,,,,,
38,05-Sep-23,FALLOW,M,PRICKET,36.5,618 396,TARRINGTON COMMON,PM,,,,,,,,,
39,07-Sep-23,FALLOW,M,PRICKET,37.5,587 392,BACKBURY HILL,PM,,,,,,,,,
40,13-Sep-23,FALLOW,M,PRICKET,37,617 396,TARRINGTON COMMON,PM,,,,,,,,,
41,15-Sep-23,FALLOW,M,FAWN,15,622 372,DEVERAUX PONDS,PM,,,,,,,,,
42,15-Sep-23,FALLOW,M,FAWN,13,615 378,DEVERAUX PONDS,PM,,,,,,,,,
43,16-Sep-23,MUNTJAC,M,BUCK,12,583 391,DORMINGTON WOODS,AM,,,,,,,,,
44,16-Sep-23,FALLOW,F,DOE,N/A,615 395,DEVERAUX PONDS,AM,,,,,,,,,
45,18-Sep-23,MUNTJAC,F,DOE,,592 387,PLANTATION,PM,,,,,,,,,
46,19-Sep-23,FALLOW,M,PRICKET,35,601 390,PLANTATION,PM,,,,,,,,,
47,19-Sep-23,FALLOW,M,SORREL,65,586 389,BACKBURY HILL,PM,,,,,,,,,
48,22-Sep-23,MUNTJAC,M,BUCK,,602 386,PLANTATION,AM,,,,,,,,,
49,24-Sep-23,FALLOW,M,SORREL,55,581 393,BACKBURY HILL,AM,,,,,,,,,
50,24-Sep-23,MUNTJAC,F,DOE,10,582 390,BACKBURY HILL,AM,,,,,,,,,
51,25-Sep-23,FOX,,,,,,PM,,,,,,,,,
52,29-Sep-23,FALLOW,M,PRICKET,36,607 394,SILO,AM,,,,,,,,,
53,30-Sep-23,FALLOW,M,PRICKET,,602 397,SILO,AM,,,,,,,,,
54,01-Oct-23,FALLOW,M,PRICKET,,609 385,Little hill highseat,AM,,,,,,,,,
55,03-Oct-23,MUNTJAC,F,DOE,9,607 413,The Oval farm,PM,,,,,,,,,
56,06-Oct-23,FALLOW,M,SORREL,64,604 414,The Oval farm,PM,,,,,,,,,
57,08-Oct-23,FALLOW,M,PRICKET,40,617 375,DEVERAUX PONDS,AM,,,,,,,,,
58,08-Oct-23,MUNTJAC,F,DOE,6,624 368,DEVERAUX PONDS,AM,,,,,,,,,
59,09-Oct-23,FALLOW,M,PRICKET,,614 377,DEVERAUX PONDS,AM,,,,,,,,,
60,09-Oct-23,FALLOW,M,SORREL,,615 376,DEVERAUX PONDS,PM,,,,,,,,,
61,13-Oct-23,FALLOW,M,SORE BUCK,52,603 407,STOKE EDITH CHURCH,PM,,,,,,,,,
62,14-Oct-23,MUNTJAC,M,BUCK,12,605 406,STOKE EDITH CHURCH,AM,,,,,,,,,
63,14-Oct-23,MUNTJAC,M,BUCK,,607 382,JURASSIC RIDGE,AM,,,,,,,,,
64,14-Oct-23,MUNTJAC,M,BUCK,10,605 405,STOKE EDITH CHURCH,PM,,,,,,,,,
65,13-Oct-23,FOX,,,,604 407,STOKE EDITH CHURCH,PM,,,,,,,,,
66,15-Oct-23,FALLOW,M,SORREL,45,611 407,STOKE EDITH CHURCH,PM,,,,,,,,,
67,15-Oct-23,FOX,,,,,STOKE EDITH CHURCH,PM,,,,,,,,,
68,16-Oct,FALLOW,M,PRICKET,40,601 391,PLANTATION,PM,,,,,,,,,
69,16-Oct-23,MUNTJAC,M,BUCK,12,601 391,PLANTATION,PM,,,,,,,,,
70,20-Oct-23,FALLOW,M,PRICKET,36,614 378,PARK FARM FIELD,PM,,,,,,,,,
71,24-Oct-23,FALLOW,M,PRICKET,36,618 397,TARRINGTON COMMON,PM,,,,,,,,,
72,26-Oct-23,FALLOW,M,PRICKET,,,DEVERAUX PONDS,PM,,,,,,,,,
73,27-Oct-23,MUNTJAC,M,BUCK,10,618 392,TARRINGTON COMMON,AM,,,,,,,,,
74,01-Nov-23,MUNTJAC,F,DOE,6,617 377,DEVERAUX PONDS,AM,,,,,,,,,
75,02-Nov-23,FALLOW,F,DOE,,625 368,DEVERAUX PONDS,PM,,,,,,,,,
76,02-Nov-23,MUNTJAC,M,BUCK,,622 370,DEVERAUX PONDS,PM,,,,,,,,,
77,03-Nov-23,FALLOW,F,DOE,30,598 388,Near Keepers cottage,PM,,,,,,,,,
78,03-Nov-23,FOX,,,,600 391,,PM,,,,,,,,,
79,03-Nov-23,FALLOW,F,DOE,23,611 379,JURASSIC RIDGE,PM,,,,,,,,,
80,03-Nov-23,FALLOW,M,PRICKET,33,611 379,JURASSIC RIDGE,PM,,,,,,,,,
81,03-Nov-23,FALLOW,M,PRICKET,33,615 378,PARK FARM FIELD,PM,,,,,,,,,
82,03-Nov-23,FALLOW,M,PRICKET,19,616 381,PARK FARM FIELD,PM,,,,,,,,,
83,03-Nov-23,FALLOW,F,DOE,"37,5",618 395,TARRINGTON COMMON,PM,,,,,,,,,
84,03-Nov-23,FALLOW,M,PRICKET,33,623 366,DEVERAUX PONDS,PM,,,,,,,,,
85,03-Nov-23,FALLOW,F,DOE,19,623 366,DEVERAUX PONDS,PM,,,,,,,,,
86,03-Nov-23,FALLOW,F,DOE,27,,DORMINGTON WOODS,PM,,,,,,,,,
87,03-Nov-23,FALLOW,F,DOE,,,DORMINGTON WOODS,PM,,,,,,,,,
88,04-Nov-23,FALLOW,F,DOE,33,,DORMINGTON FIELDS,AM,,,,,,,,,
89,04-Nov-23,MUNTJAC,F,DOE,5,605 385,Leaning Tower,AM,,,,,,,,,
90,04-Nov-23,MUNTJAC,M,BUCK,10,619 373,DEVERAUX PONDS,AM,,,,,,,,,
91,04-Nov-23,FALLOW,F,DOE,24,614 377,PARK FARM FIELD,AM,,,,,,,,,
92,05-Nov-23,FALLOW,M,FAWN,21,606 405,STOKE EDITH CHURCH,AM,,,,,,,,,
93,05-Nov-23,ROE,F,DOE,17,605 385,Leaning Tower,AM,,,,,,,,,
94,05-Nov-23,FALLOW,M,PRICKET,39,605 385,Leaning Tower,AM,,,,,,,,,
95,05-Nov-23,FOX,,,,605 385,Leaning Tower,AM,,,,,,,,,
96,05-Nov-23,FOX,,,,605 385,Leaning Tower,AM,,,,,,,,,
97,05-Nov-23,FALLOW,F,DOE,15,,Priors Wood,AM,,,,,,,,,
98,05-Nov-23,FALLOW,F,DOE,35,,BACKBURY HILL,AM,,,,,,,,,
99,05-Nov-23,FALLOW,F,DOE,29,,Priors Wood,AM,,,,,,,,,
100,05-Nov-23,MUNTJAC,F,DOE,5,,Priors Wood,AM,,,,,,,,,
101,06-Nov-23,FALLOW,M,BARE BUCK,47,,Priors Wood,PM,,,,,,,,,
102,14-Nov-23,MUNTJAC,M,BUCK,9,605 397,PLANTATION,PM,,,,,,,,,
103,17-Nov-23,MUNTJAC,M,BUCK,10,619 371,DEVERAUX PONDS,PM,,,,,,,,,
104,17-Nov-23,MUNTJAC,F,DOE,8,619 371,DEVERAUX PONDS,PM,,,,,,,,,
105,17-Nov-23,FOX,F,VIXEN,,612 380,DEVERAUX PONDS,PM,,,,,,,,,
106,17-Nov-23,MUNTJAC,M,BUCK,,603 397,SILO,PM,,,,,,,,,
107,17-Nov-23,FALLOW,M,PRICKET,36,608 387,Leaning Tower,PM,,,,,,,,,
108,18-Nov-23,FALLOW,M,FAWN,,616 396,TARRINGTON COMMON,AM,,,,,,,,,
109,18-Nov-23,FALLOW,F,DOE,,614 399,TARRINGTON COMMON,AM,,,,,,,,,
110,18-Nov-23,FALLOW,F,DOE,,613 397,TARRINGTON COMMON,PM,,,,,,,,,
111,18-Nov-23,FALLOW,M,PRICKET,37,602 389,Leaning Tower,PM,,,,,,,,,
112,18-Nov-23,MUNTJAC,M,BUCK,11,606 386,Leaning Tower,PM,,,,,,,,,
113,18-Nov-23,FALLOW,F,DOE,,601 398,PARK COTTAGE,AM,,,,,,,,,
114,18-Nov-23,FALLOW,M,PRICKET,39,615 376,DEVERAUX PONDS,AM,,,,,,,,,
115,23-Nov-23,FALLOW,M,FAWN,20,604 392,TARRINGTON COMMON,PM,,,,,,,,,
116,25-Nov-23,MUNTJAC,M,BUCK,10,601 388,DORMINGTON WOOD,PM,,,,,,,,,
117,27-Nov-23,FALLOW,F,DOE,34,621 370,DEVERAUX PONDS,AM,,,,,,,,,
118,27-Nov-23,FALLOW,F,DOE,32,620 375,DEVERAUX PONDS,AM,,,,,,,,,
119,28-Nov-23,FALLOW,F,DOE,27,603 385,JURASSIC RIDGE,PM,,,,,,,,,
120,28-Nov-23,FALLOW,F,DOE,31,591 391,BACKBURY HILL,PM,,,,,,,,,
121,30-Nov-23,FOX,F,VIXEN,,601 389,SWILLOW WOOD,PM,,,,,,,,,
122,09-Dec-23,MUNTJAC,M,BUCK,,,,AM,,,,,,,,,
123,09-Dec-23,MUNTJAC,M,BUCK,12,608 408,STOKE EDITH CHURCH,AM,,,,,,,,,
124,09-Dec-23,MUNTJAC,F,DOE,8,608 408,STOKE EDITH CHURCH,AM,,,,,,,,,
125,10-Dec-23,FALLOW,F,DOE,35,601 395,PLANTATION,AM,,,,,,,,,
126,10-Dec-23,FALLOW,F,DOE,,598 394,OLD QUARRY,AM,,,,,,,,,
127,10-Dec-23,FALLOW,F,DOE,,596 394,OLD QUARRY,AM,,,,,,,,,
128,10-Dec-23,FALLOW,M,FAWN,,597 392,OLD QUARRY,AM,,,,,,,,,
129,10-Dec-23,FOX,F,VIXEN,,605 383,Priors Wood,AM,,,,,,,,,
130,11-Dec-23,FALLOW,F,DOE,,,FRITH WOODS,PM,,,,,,,,,
131,10-Dec-23,FALLOW,F,DOE,,,PLANTATION,AM,,,,,,,,,
132,09-Dec-23,MUNTJAC,F,DOE,,,PLANTATION,AM,,,,,,,,,
133,11-Dec-23,FALLOW,F,DOE,,,KEEPERS COTTAGE,PM,,,,,,,,,
134,15-Dec-23,MUNTJAC,M,BUCK,8,622 381,DEVERAUX PONDS,AM,,,,,,,,,
135,16-Dec-23,FALLOW,M,PRICKET,37,583 391,DORMINGTON ORCHARDS,AM,,,,,,,,,
136,16-Dec-23,FALLOW,M,PRICKET,37,583 391,DORMINGTON ORCHARDS,AM,,,,,,,,,
137,20-Dec-23,FALLOW,M,FAWN,20,604 384,PRIORS WOOD,PM,,,,,,,,,
138,20-Dec-23,FALLOW,M,FAWN,10,616 377,PARK FARM FIELD,PM,,,,,,,,,
139,23-Dec-23,FALLOW,M,FAWN,,601 386,DORMINGTON WOOD,AM,,,,,,,,,
140,23-Dec-23,FALLOW,M,FAWN,,607 383,DORMINGTON WOOD,AM,,,,,,,,,
141,23-Dec-23,MUNTJAC,F,DOE,,600 388,DORMINGTON WOOD,AM,,,,,,,,,
142,23-Dec-23,MUNTJAC,M,BUCK,,605 385,DORMINGTON WOOD,AM,,,,,,,,,
143,26-Dec-23,FALLOW,F,DOE,29,585 393,PRIORS COURT FARM,PM,,,,,,,,,
144,26-Dec-23,FALLOW,F,DOE,19,585 393,PRIORS COURT FARM,PM,,,,,,,,,
145,29-Dec-23,FALLOW,F,DOE,32,586 392,PRIORS COURT FARM,PM,,,,,,,,,
146,31-Dec-23,MUNTJAC,M,BUCK,,,PLANTATION,AM,,,,,,,,,
147,04-Jan-24,MUNTJAC,M,BUCK,12,586 388,PRIORS COURT FARM,PM,,,,,,,,,
148,04-Jan-24,FALLOW,F,DOE,32,584 388,PRIORS COURT FARM,PM,,,,,,,,,
149,05-Jan-24,FALLOW,M,FAWN,25,623 373,DEVERAUX PONDS,AM,,,,,,,,,
150,05-Jan-24,FALLOW,F,DOE,32,623 373,DEVERAUX PONDS,AM,,,,,,,,,
151,05-Jan-24,FALLOW,F,DOE,35,623 373,DEVERAUX PONDS,AM,,,,,,,,,
152,05-Jan-24,FALLOW,M,FAWN,22,623 373,DEVERAUX PONDS,AM,,,,,,,,,
153,05-Jan-24,FALLOW,F,FAWN,18.5,623 373,DEVERAUX PONDS,AM,,,,,,,,,
154,07-Jan-24,FALLOW,F,FAWN,17.5,605 385,Leaning Tower,PM,,,,,,,,,
155,11-Jan-24,FALLOW,M,FAWN,23,601 391,PUNCH BOWL,PM,,,,,,,,,
,11-Jan-24,FOX,M,DOG,,601 391,PUNCH BOWL,PM,,,,,,,,,
156,12-Jan-24,FALLOW,F,DOE,36,600 386,PRIORS WOOD,AM,,,,,,,,,
157,12-Jan-24,FALLOW,M,FAWN,18,605 384,PLANTATION,PM,,,,,,,,,
158,18-Jan-24,FALLOW,M,FAWN,17,615 379,TARRINGTON COMMON,PM,,,,,,,,,
159,18-Jan-24,FALLOW,F,DOE,34,618 396,TARRINGTON COMMON,PM,,,,,,,,,
160,18-Jan-24,FALLOW,F,DOE,33.5,618 396,TARRINGTON COMMON,PM,,,,,,,,,
161,19-Jan-24,MUNTJAC,M,BUCK,12,587 390,PRIORS COURT FARM,PM,,,,,,,,,
162,23-Jan-24,FALLOW,F,DOE,31,602 385,PRIORS WOOD,PM,,,,,,,,,
163,25-Jan-24,MUNTJAC,M,BUCK,11,606 385,Leaning Tower,PM,,,,,,,,,
164,25-Jan-24,MUNTJAC,F,DOE,7.5,602 387,Leaning Tower,PM,,,,,,,,,
165,27-Jan-24,FALLOW,F,FAWN,20,587 390,PRIORS COURT FARM,AM,,,,,,,,,
166,28-Jan-24,FALLOW,M,FAWN,23,600 388,PLANTATION,PM,,,,,,,,,
167,28-Jan-24,ROE,F,DOE,18,605 384,PLANTATION,PM,,,,,,,,,
168,30-Jan-24,FALLOW,F,DOE,28,604 387,PLANTATION,PM,,,,,,,,,
169,01-Feb-24,ROE,F,DOE,16,604 395,PLANTATION,PM,,,,,,,,,
170,01-Feb-24,FALLOW,M,PRICKET,38,607 398,PLANTATION,PM,,,,,,,,,
171,10-Feb-24,MUNTJAC,F,DOE,6,615 378,DEVERAUX PONDS,AM,,,,,,,,,
172,10-Feb-24,MUNTJAC,M,BUCK,10,615 378,DEVERAUX PONDS,AM,,,,,,,,,
173,10-Feb-24,FALLOW,F,FAWN,18,605 386,PLANTATION,PM,,,,,,,,,
174,10-Feb-24,MUNTJAC,M,BUCK,10,602 387,Leaning Tower,PM,,,,,,,,,
175,11-Feb-24,FALLOW,F,DOE,35,615 378,DEVERAUX PONDS,PM,,,,,,,,,
176,11-Feb-24,FALLOW,M,PRICKET,35,615 378,DEVERAUX PONDS,PM,,,,,,,,,
177,11-Feb-24,FALLOW,F,DOE,28,615 378,DEVERAUX PONDS,PM,,,,,,,,,
178,10-Feb-24,MUNTJAC,M,BUCK,10,601 395,DORMINGTON WOODS,PM,,,,,,,,,
179,10-Feb-24,FALLOW,F,DOE,25,593 389,FRITH WOODS,PM,,,,,,,,,
180,10-Feb-24,FALLOW,F,DOE,28,602 394,DORMINGTON WOODS,PM,,,,,,,,,
181,14-Feb-24,FALLOW,F,FAWN,18,613 394,TARRINGTON COMMON,AM,,,,,,,,,
182,14-Feb-24,ROE,F,DOE,18,607 393,PLANTATION,AM,,,,,,,,,
183,14-Feb-24,FALLOW,F,DOE,30,615 381,PARK FARM FIELD,PM,,,,,,,,,
184,20-Feb-24,FALLOW,M,FAWN,21,601 387,PRIORS WOOD,PM,,,,,,,,,
185,24-Feb-24,FALLOW,F,DOE,34,613 396,COSSINGTON,PM,,,,,,,,,
186,24-Feb-24,MUNTJAC,M,BUCK,9,620 388,SWILLOW WOOD,PM,,,,,,,,,
187,24-Feb-24,MUNTJAC,F,DOE,8,620 388,SWILLOW WOOD,PM,,,,,,,,,
188,24-Feb-24,FALLOW,F,DOE,35,621 386,COSSINGTON,PM,,,,,,,,,
189,24-Feb-24,FALLOW,F,FAWN,19.5,621 386,COSSINGTON,PM,,,,,,,,,
190,24-Feb-24,FALLOW,F,FAWN,19,621 386,COSSINGTON,PM,,,,,,,,,
191,24-Feb-24,MUNTJAC ,M,BUCK,9,607 393,PLANTATION,PM,,,,,,,,,
24-Feb-24,24-Feb-24,MUNTJAC,F,DOE,7.5,607 393,PLANTATION,PM,,,,,,,,,
192,25-Feb-24,MUNTJAC,M,BUCK,8,606 385,Leaning Tower,AM,,,,,,,,,
193,25-Feb-24,MUNTJAC,F,DOE,8,602 387,Leaning Tower,AM,,,,,,,,,
194,25-Feb-24,MUNTJAC,F,DOE,6,606 385,Leaning Tower,AM,,,,,,,,,
195,25-Feb-24,FALLOW,M,FAWN,16.5,593 389,Frith WOODS,AM,,,,,,,,,
196,25-Feb-24,FALLOW,F,FAWN,18,593 389,FRITH WOODS,AM,,,,,,,,,
197,25-Feb-24,FALLOW,F,FAWN,18,593 389,FRITH WOODS,AM,,,,,,,,,
198,28-Feb-24,FALLOW,F,DOE,33,615 383,PENTELOE WELLS,PM,,,,,,,,,
199,29-Feb-24,MUNTJAC,M,BUCK,10.5,619 396,TARRINGTON COMMON,PM,,,,,,,,,
200,29-Feb-24,FALLOW,F,FAWN,19.5,597 389,PRIORS WOOD,PM,,,,,,,,,
201,29-Feb-24,MUNTJAC,F,DOE,7,609 382,LITTLE HILL,PM,,,,,,,,,
202,06-Mar-24,FALLOW,F,FAWN,13.5,624 372,PARK FARM FIELD,PM,,,,,,,,,
203,07-Mar-24,FALLOW,F,DOE,27,614 378,PENTELOE WELLS,PM,,,,,,,,,
