SER,DATE,SPECIES,SEX,MATURITY,WEIGHT,GRID REF,LOCATION,TIME of DAY,,,,,,,,,
,07-Dec-24,,,,,,KEEPERS COTTAGE,AM,,,,,,,,,
,10-Dec-24,,,,,,,PM,,,,,,,,,
,14-Dec-24,FALLOW,F,DOE,33,596 392,OLD QUARRY,AM,,,,,,,,,
,14-Dec-24,,,,,,PROSPECT FARM,AM,,,,,,,,,
,15-Dec-24,FALLOW,F,FAWN,20,606 383,LEANING TOWER,PM,,,,,,,,,
,15-Dec-24,FALLOW,M,PRICKET,37,606 392,PLANTATION,PM,,,,,,,,,
,15-Dec-24,FALLOW,F,DOE,32,617 396,TARRINGTON COMMON,PM,,,,,,,,,
,16-Dec-24,FALLOW,M,FAWN,21,583 390,THE ORCHARDS,AM,,,,,,,,,
,16-Dec-24,FALLOW,F ,DOE,40,618 374,PARK FARM FIELD,AM,,,,,,,,,
,16-Dec-24,MUNTJAC,M,BUCK,8,623 366,DEVERAUX PONDS,AM,,,,,,,,,
,17-Dec-24,,,,,,,PM,,,,,,,,,
,18-Dec-24,FALLOW,F,DOE,24.5,590 391,PROSPECT FARM,PM,,,,,,,,,
,19-Dec-24,MUNTJAC,M,BUCK,10,605 397,COCKSHOOT,PM,,,,,,,,,
,20-Dec-24,FALLOW,F,DOE,35,618 395,TARRINGTON COMMON,PM,,,,,,,,,
,20-Dec-24,FALLOW,F,FAWN,15,618 395,TARRINGTON COMMON,PM,,,,,,,,,
,20-Dec-24,MUNTJAC,M,BUCK,11.5,618 395,TARRINGTON COMMON,PM,,,,,,,,,
,22-Dec-24,,,,,,DEVERAUX PONDS,PM,,,,,,,,,
,21-Dec-24,,,,,,PROSPECT FARM,AM,,,,,,,,,
,27-Dec-24,MUNTJAC,M,BUCK,!2,307 643,DEVERAUX PONDS,PM,,,,,,,,,
,28-Dec-24,MUNTJAC,M,BUCK,5,605 385,PLANTATION,PM,,,,,,,,,
,28-Dec-24,FALLOW,M,FAWN,24,600 387,PLANTATION,PM,,,,,,,,,
,29-Dec-24,FALLOW,F,FAWN,20,620 384,NEIGHBROOKS,AM,,,,,,,,,
,29-Dec-24,FALLOW,M,SORREL,40,622 377,DEVERAUX PONDS,AM,,,,,,,,,
,29-Dec-24,FALLOW,M,FAWN,25,620 386,DEVERAUX PONDS,PM,,,,,,,,,
,29-Dec-24,FALLOW,M,FAWN,20,608 387,PLANTATION,PM,,,,,,,,,
,29-Dec-24,FALLOW,M,PRICKET,38,618 395,TARRINGTON COMMON,PM,,,,,,,,,
,29-Dec-24,FALLOW,M,FAWN,22,604 387,PLANTATION,PM,,,,,,,,,
,29-Dec-24,FALLOW,F,FAWN,19,603 395,PLANTATION,PM,,,,,,,,,
,29-Dec-24,FALLOW,F,DOE,31,587 393,PROSPECT FARM,PM,,,,,,,,,
,30-Dec-24,FALLOW,F,FAWN,19,589 390,TOWER HILL,AM,,,,,,,,,
,30-Dec-24,FOX,M,DOG,,621 385,DEVERAUX PONDS,AM,,,,,,,,,
,30-Dec-24,FALLOW,F,DOE,20,603 385,PRIORS WOOD,AM,,,,,,,,,
,30-Dec-24,MUNTJAC,M,BUCK,6,606 383,LEANING TOWER,PM,,,,,,,,,
,30-Dec-24,FOX,M,DOG,,606 383,LEANING TOWER,PM,,,,,,,,,
,30-Dec-24,,,,,,COSSINGTON,PM,,,,,,,,,
,30-Dec-24,,,,,,DEVERAUX PONDS,PM,,,,,,,,,
,30-Dec-24,,,,,,PLANTATION,PM,,,,,,,,,
,30-Dec-24,,,,,,DORMINGTON WOODS,PM,,,,,,,,,
,31-Dec-24,FALLOW,F,FAWN,21.5,618 374,PARK FARM FIELD,AM,,,,,,,,,
,03-Jan-25,,,,,,DORMINGTON WOODS,AM,,,,,,,,,
,04-Jan-25,FALLOW,F,DOE,29,602 395,PLANTATION,PM,,,,,,,,,
,04-Jan-25,FALLOW,F,DOE,26,602 395,PLANTATION,PM,,,,,,,,,
,05-Jan-25,FALLOW,F,DOE,36,601 394,STALAG HIGHSEAT,PM,,,,,,,,,
,05-Jan-25,,,,,,,PM,,,,,,,,,
,12-Jan-25,FALLOW,M,FAWN,23.5,600 393,PUNCH BOWL,AM,,,,,,,,,
,12-Jan-25,MUNTJAC,M,BUCK,7.5,600 393,PUNCH BOWL,AM,,,,,,,,,
,12-Jan-25,MUNTJAC,F,DOE,7.5,600 393,PUNCH BOWL,AM,,,,,,,,,
,12-Jan-25,MUNTJAC,M,FAWN,4,601 387,PRIORS WOOD,AM,,,,,,,,,
,12-Jan-25,MUNTJAC,M,BUCK,6,619 370,DEVERAUX PONDS,AM,,,,,,,,,
,15-Jan-25,FALLOW,M,FAWN,24,618 374,PARK FARM FIELD,PM,,,,,,,,,
,15-Jan-25,FALLOW,F,FAWN,18,618 374,PARK FARM FIELD,PM,,,,,,,,,
,15-Jan-25,MUNTJAC,F,DOE,7,618 374,PARK FARM FIELD,PM,,,,,,,,,
,18-Jan-25,MUNTJAC,F,DOE,6,602 395,PLANTATION,AM,,,,,,,,,
,18-Jan-25,FALLOW,F,DOE,31,598 393,OLD QUARRY,PM,,,,,,,,,
,18-Jan-25,MUNTJAC,M,BUCK,6.5,606 397,MIDDLE HILL,PM,,,,,,,,,
,18-Jan-25,MUNTJAC,F,DOE,7,606 397,MIDDLE HILL,PM,,,,,,,,,
,19-Jan-25,FALLOW,M,PRICKET,27,596 389,OLD QUARRY,PM,,,,,,,,,
,21-Jan-25,,,,,,TARRINGTON COMMON,PM,,,,,,,,,
,22-Jan-25,,,,,,PLANTATION,PM,,,,,,,,,
,25 Jam 25,,,,,,DEVERAUX PONDS,PM,,,,,,,,,
,25-Jan-25,MUNTJAC,M,BUCK,13,600 395,PUNCH BOWL,PM,,,,,,,,,
,25-Jan-25,MUNTJAC,F,DOE,8,603 385,THE CASTLE,PM,,,,,,,,,
,25-Jan-25,ROE,F,DOE,12,604 388,PRIORS WOOD,PM,,,,,,,,,
,26-Jan-25,MUNTJAC,F,DOE,8.5,604 390,LOST VALLEY,AM,,,,,,,,,
,26-Jan-25,,,,,,,AM,,,,,,,,,
,26-Jan-25,FALLOW,M,PRICKET,39,607 395,PLANTATION,AM,,,,,,,,,
,26-Jan-25,ROE,F,DOE,17,608 391,PLANTATION,AM,,,,,,,,,
,26-Jan-25,FALLOW,F,DOE,31,600 386,PRIORS WOOD,AM,,,,,,,,,
,26-Jan-25,FALLOW,F,DOE,30,606 383,PRIORS WOOD,AM,,,,,,,,,
,26-Jan-25,MUNTJAC,M,BUCK,5,615 376,DEVERAUX PONDS,AM,,,,,,,,,
,26-Jan-25,ROE,F,DOE,16,625 370,DEVERAUX PONDS,AM,,,,,,,,,
,27-Jan-25,FALLOW,F,DOE,27.5,605 392,PLANTATION,PM,,,,,,,,,
,27-Jan-25,MUNTJAC,F,DOE,7,603 393,PLANTATION,PM,,,,,,,,,
,27-Jan-25,FALLOW,M,BUCK,37,602 399,DEVERAUX PONDS,PM,,,,,,,,,
,27-Jan-25,MUNTJAC,M,BUCK,8,620 369,DEVERAUX PONDS,PM,,,,,,,,,
,30-Jan-25,FALLOW,M,PRICKET,35,606 387,PLANTATION,AM,,,,,,,,,
,31-Jan-25,,,,,,PLANTATION,PM,,,,,,,,,
,31-Jan-25,,,,,,DEVERAUX PONDS,PM,,,,,,,,,
,01-Feb-25,MUNTJAC,M,BUCK,10,604 399,LOST VALLEY,AM,,,,,,,,,
,02-Feb-25,,,,,,STOKE EDITH FIELDS,AM,,,,,,,,,
,02-Feb-25,MUNTJAC,M,BUCK,,611 397,SWILLOW WOOD,AM,,,,,,,,,
,02-Feb-35,FALLOW,M,PRICKET,30,609 398,SWILLOW WOOD,AM,,,,,,,,,
,02-Feb-25,FALLOW,M,FAWN,17,611 397,SWILLOW WOOD,AM,,,,,,,,,
,07-Feb-25,FALLOW,M,FAWN,22,609 385,LITTLE HILL,PM,,,,,,,,,
,07-Feb-25,MUNTJAC,F,DOE,1.5,599 393,OLD QUARRY,PM,,,,,,,,,
,07-Feb-25,FOX,,,,598 394,OLD QUARRY,PM,,,,,,,,,
,08-Feb-25,MUNTJAC,M,BUCK,7,623 363,DEVERAUX PONDS,AM,,,,,,,,,
,08-Feb-25,,,,,,,PM,,,,,,,,,
,09-Feb-25,,,,,,,AM,,,,,,,,,
,09-Feb-25,MUNTJAC,F,DOE,8.5,601 398,PLANTATION,AM,,,,,,,,,
,09-Feb-25,FALLOW,F,DOE,30,599 401,STOKE EDITTH FIELDS,AM,,,,,,,,,
,09-Feb-25,FALLOW,F,DOE,33,599 401,STOKE EDITH FIELDS,AM,,,,,,,,,
,09-Feb-25,FALLOW,M,FAWN,16,601 385,PRIORS WOOD,AM,,,,,,,,,
,15-Feb-25,FALLOW,M,FAWN,19,591 391,TOWER HILL,PM,,,,,,,,,
,16-Feb-25,,,,,,TOWER HILL,PM,,,,,,,,,
,16-Feb-25,,,,,,LEANING TOWER,PM,,,,,,,,,
,16-Feb-25,,,,,,TOWER HILL,AM,,,,,,,,,
,16-Feb-25,,,,,,STOKE EDITH FIELDS,AM,,,,,,,,,
,,,,,,,PLANTATION,,,,,,,,,,
,21-Feb-25,FALLOW,F,DOE,32,589 390,KEEPERS COTTAGE,AM,,,,,,,,,
,21-Feb-25,FALLOW,M,FAWN,27,589 390,KEEPERS COTTAGE,AM,,,,,,,,,
,21-Feb-25,FALLOW,M,BUCK,42,623 363,DEVERAUX PONDS,AM,,,,,,,,,
,21-Feb-25,MUNTJAC,M,BUCK,7,618 395,TARRINGTON COMMON,PM,,,,,,,,,
,21-Feb-25,FALLOW,F,DOE,27,601 392,SPOOKY COTTAGE,PM,,,,,,,,,
,21-Feb-25,ROE,F,DOE,20,606 392,PLANTATION,PM,,,,,,,,,
,22-Feb-25,FALLOW,F,DOE,30.5,599 402,STOKE EDITH FIELDS,AM,,,,,,,,,
,22-Feb-25,FALLOW,F,FAWN,17,599 402,STOKE EDITH FIELDS,AM,,,,,,,,,
,22-Feb-25,FALLOW,M,FAWN,23,584 389,BACKBURY HILL,AM,,,,,,,,,
,22-Feb-25,MUNTJAC,M,BUCK,11,592 389,FRITH WOODS,AM,,,,,,,,,
,22-Feb-25,MUNTJAC,M,BUCK,8,623 366,DEVERAUX PONDS,AM,,,,,,,,,
,22-Feb-25,FOX,,DOG,,623 363,DEVERAUX PONDS,AM,,,,,,,,,
,24-Feb-25,,,,,,DEVERAUX PONDS,PM,,,,,,,,,
,26-Feb-25,,,,,,TOWER HILL,PM,,,,,,,,,
,28-Feb-25,FALLOW,M,YEARLING,25,604 396,PLANTATION,AM,,,,,,,,,
,28-Feb-25,FALLOW,F,YEARLING,18,619 385,COSSINGTON,PM,,,,,,,,,
,28-Feb-25,MUNTJAC,M,BUCK,9,609 391,MIDDLE HILL,PM,,,,,,,,,
,28-Feb-25,FALLOW,M,PRICKET,37,600 397,STALAG HIGHSEAT,PM,,,,,,,,,
,01-Mar-25,FALLOW,F,DOE,35,599 402,STOKE EDITH FIELDS,AM,,,,,,,,,
,01-Mar-25,MUNTJAC,F,DOE,8,609 385,LITTLE HILL,PM,,,,,,,,,
,02-Mar-25,FALLOW,F,DOE,37,618 389,SEAGER HILL ,AM,,,,,,,,,
,02-Mar-25,FALLOW,F,YEARLING,21,618 389,SEAGER HILL ,AM,,,,,,,,,
,02-Mar-25,FALLOW,F,YEARLING,19,618 389,SEAGER HILL ,AM,,,,,,,,,
,02-Mar-25,FALLOW,F,DOE,30,,,AM,,,,,,,,,
,02-Mar-25,FALLOW,F,DOE,29.5,,,AM,,,,,,,,,
,02-Mar-25,MUNTJAC,F,DOE,4,,,AM,,,,,,,,,
,02-Mar-25,FALLOW,M,YEARLING,20,599 402,STOKE EDITH FIELDS,PM,,,,,,,,,
,03-Mar-25,,,,,,FRITH WOODS,PM,,,,,,,,,
,06-Mar-25,,,,,,,PM,,,,,,,,,
,07-Mar-25,,,,,,,PM,,,,,,,,,
,08-Mar-25,,,,,,PLANTATION,AM,,,,,,,,,
,08-Mar-25,,,,,,DEVERAUX PONDS,AM,,,,,,,,,
,13-Mar-25,,,,,,DEVERAUX PONDS,PM,,,,,,,,,
,15-Mar-25,,,,,,DEVERAUX PONDS,AM,,,,,,,,,
,15-Mar-25,FALLOW,F,YEARLING,24,607 394,PLANTATION,AM,,,,,,,,,
,15-Mar-25,MUNTJAC,M,BUCK,12,607 394,PLANTATION,AM,,,,,,,,,
,22-Mar-25,ROE,F,DOE,15,603 395,PLANTATION,PM,,,,,,,,,
,22-Mar-25,FALLOW,F,DOE,32,605 400,PLANTATION,PM,,,,,,,,,
,22-Mar-25,FALLOW,F,DOE,26,605 400,PLANTATION,PM,,,,,,,,,
,22-Mar-25,FALLOW,F,DOE,26,605 398,PLANTATION,PM,,,,,,,,,
,23-Mar-25,,,,,,PLANTATION,PM,,,,,,,,,
,24-Mar-25,,,,,,STOKE EDITH FIELDS,PM,,,,,,,,,
,24-Mar-25,,,,,,DEVERAUX PONDS,PM,,,,,,,,,
,25-Mar-25,FALLOW,M,YEARLING,24,602 394,PLANTATION,PM,,,,,,,,,
,25-Mar-25,MUNTJAC,F,DOE,4,602 394,PLANTATION,PM,,,,,,,,,
,26-Mar-25,FALLOW,M,YEARLING,27,615 391,HIGHNAM FARM,PM,,,,,,,,,
,26-Mar-25,FALLOW,M,PRICKET,41,615 391,HIGHNAM FARM,PM,,,,,,,,,
,26-Mar-25,,,,,,PLANTATION,PM,,,,,,,,,
,26-Mar-25,,,,,,DEVERAUX PONDS,PM,,,,,,,,,
,28-Mar-25,FALLOW,F,DOE,26,591 391,TOWER HILL,AM,,,,,,,,,
,28-Mar-25,MUNTJAC,F,DOE,8.5,591 391,TOWER HILL,AM,,,,,,,,,
,28-Mar-25,FALLOW,M,YEARLING,21,612 396,SWILLOW WOOD,PM,,,,,,,,,
,28-Mar-25,ROE,F,DOE,15,605 385,JURASSIC RIDGE,PM,,,,,,,,,
,29-Mar-25,MUNTJAC,M,DOE,8,621 374,DEVERAUX PONDS,AM,,,,,,,,,
,29-Mar-25,FALLOW,F,DOE,27,621 374,DEVERAUX PONDS,AM,,,,,,,,,
,29-Mar-25,FALLOW,F,YEARLING,20,621 374,DEVERAUX PONDS,AM,,,,,,,,,
,30-Mar-25,FALLOW,M,YEARLING,23,623 371,DEVERAUX PONDS,AM,,,,,,,,,
,30-Mar-25,,,,,,,PM,,,,,,,,,
,30-Mar-25,FALLOW,F,DOE,24,,,PM,,,,,,,,,
,31-Mar-25,MUNTJAC,F,DOE,7,603 402,HIDDEN VALLEY,AM,,,,,,,,,
,31-Mar-25,FALLOW,F,DOE,34,601 385,PRIORS WOOD,PM,,,,,,,,,
,06-Apr-25,,,,,,SWILLOW WOOD,AM,,,,,,,,,
,06-Apr-25,ROE,M,BUCK,16,,PLANTATION,AM,,,,,,,,,
,14-Apr-25,FALLOW,M,YEARLING,23,609 396,STOKE EDITH FIELDS,PM,,,,,,,,,
,14-Apr-25,,,,,,,PM,,,,,,,,,
,17-Apr-25,FALLOW,M,YEARLING,25,618 373,DEVERAUX PONDS,AM,,,,,,,,,
,17-Apr-25,MUNTJAC,M,BUCK,,621 373,DEVERAUX PONDS,AM,,,,,,,,,
,17-Apr-25,MUNTJAC,F,DOE,,616 375,DEVERAUX PONDS,AM,,,,,,,,,
,18-Apr-25,,,,,,SILO,PM,,,,,,,,,
,24-Apr-25,,,,,,STOKE EDITH FIELDS,PM,,,,,,,,,
,26-Apr-25,MUNTJAC,F,DOE,10,608 382,LITTLE HILL,PM,,,,,,,,,
,26-Apr-25,MUNTJAC,F,DOE,2,608 382,LITTLE HILL,PM,,,,,,,,,
,26-Apr-25,MUNTJAC,F,DOE,12,610 387,MIDDLE HILL,PM,,,,,,,,,
,26-Apr-25,MUNTJAC,F,DOE,8,619 389,SEAGER HILL ,PM,,,,,,,,,
,26-Apr-25,MUNTJAC,M,BUCK,10,608 382,LITTLE HILL,PM,,,,,,,,,
,26-Apr-25,MUNTJAC,M,BUCK,9,607 398,PARK COTTAGE,PM,,,,,,,,,
,26-Apr-25,FALLOW,M,YEARLING,28,609 398,STOKE EDITH FIELDS,PM,,,,,,,,,
,27-Apr-25,FALLOW,M,PRICKET,44,619 397,TARRINGTON COMMON,PM,,,,,,,,,
,28-Apr-25,,,,,,PARK FARM FIELD,PM,,,,,,,,,
,30-Apr-25,MUNTJAC,F,DOE,4,603 396,SILO,PM,,,,,,,,,
,01-May-25,MUNTJAC,F,DOE,9,597 390,PLANTATION,PM,,,,,,,,,
,01-May-25,MUNTJAC,M,BUCK,10,600 393,PLANTATION,PM,,,,,,,,,
,03-May-25,MUNTJAC,M,BUCK,4,608 384,MIDDLE HILL,AM,,,,,,,,,
,03-May-25,ROE,M,BUCK,20,608 389,PLANTATION,AM,,,,,,,,,
,03-May-25,,,,,,PLANTATION,PM,,,,,,,,,
,03-May-25,,,,,,The Oval farm,PM,,,,,,,,,
,03-May-25,MUNTJAC,F,DOE,5,608 384,MIDDLE HILL,PM,,,,,,,,,
,03-May-25,MUNTJAC,M,BUCK,6,607 385,LEANING TOWER,PM,,,,,,,,,
,04-May-25,MUNTJAC,F,DOE,5,619 386,COSSINGTON,AM,,,,,,,,,
,04-May-25,FALLOW,M,PRICKET,25,611 382,LITTLE HILL,AM,,,,,,,,,
,09-May-25,MUNTJAC,M,BUCK,11,599 394,PLANTATION,PM,,,,,,,,,
,11-May-25,MUNTJAC,F,DOE,8,,LOST VALLEY,AM,,,,,,,,,
,11-May-25,MUNTJAC,F,DOE,7.5,,LOST VALLEY,AM,,,,,,,,,
,10-May-25,,,,,,,AM,,,,,,,,,
,11-May-25,MUNTJAC,F,DOE,5,602 387,PRIORS WOOD,AM,,,,,,,,,
,23-May-25,,,,,,,PM,,,,,,,,,
,24-May-25,,,,,,,PM,,,,,,,,,
,26-May-25,,,,,,,PM,,,,,,,,,
,29-May-25,MUNTJAC,M,BUCK,10,6065 3922,PLANTATION,PM,,,,,,,,,
,01-Jun-25,,,,,,,PM,,,,,,,,,
,04-Jun-25,,,,,,PLANTATION,PM,,,,,,,,,
,08-Jun-25,MUNTJAC,M,BUCK,11,608 383,NEIGHBROOKS,AM,,,,,,,,,
,08-Jun-25,,,,,,,AM,,,,,,,,,
,13-Jun-25,,,,,,,PM,,,,,,,,,
,21-Jun-25,MUNTJAC,M,BUCK,8,607 384,MIDDLE HILL,AM,,,,,,,,,
,21-Jun-25,,,,,,PLANTATION,AM,,,,,,,,,
,22-Jun-25,FOX,,,,605 388,GRALLOUCH STATION,PM,,,,,,,,,
,22-Jun-25,MUNTJAC,F,DOE ,7,603 397,SILO SEAT,PM,,,,,,,,,
,22-Jun-25,,,,,,SPOOKY COTTAGE,PM,,,,,,,,,
,29-Jun-25,,,,,,PLANTATION,PM,,,,,,,,,
,29-Jun-25,,,,,,STOKE EDITH FIELDS,PM,,,,,,,,,
,29-Jun-25,MUNTJAC,M,BUCK,10,623 367,DEVERAUX PONDS,PM,,,,,,,,,
,01-Jul-25,,,,,,PLANTATION,PM,,,,,,,,,
,06-Jul-25,FOX,,,,,MIDDLE HILL,PM,,,,,,,,,
,06-Jul-25,FOX,,,,,MIDDLE HILL,PM,,,,,,,,,
,06-Jul-25,FOX,,,,,MIDDLE HILL,PM,,,,,,,,,
,08-Jul-25,MUNTJAC,F,DOE,9,603 396,PLANTATION,PM,,,,,,,,,
,08-Jul-25,MUNTJAC,F,DOE,6,603 396,PLANTATION,PM,,,,,,,,,
,09-Jul-25,FOX,,,,,MIDDLE HILL,PM,,,,,,,,,
,09-Jul-25,FOX,,,,,MIDDLE HILL,PM,,,,,,,,,
,12-Jul-25,,,,,,PLANTATION,AM,,,,,,,,,
,12-Jul-25,,,,,,LOST VALLEY,AM,,,,,,,,,
,12-Jul-25,ROE,M,BUCK,,617 382,PENTELOE POND,PM,,,,,,,,,
,12-Jul-25,FOX,,,,604 400,,PM,,,,,,,,,
,12-Jul-25,FOX,,,,604 400,,PM,,,,,,,,,
,12-Jul-25,FOX,,,,604 400,,PM,,,,,,,,,
,16-Jul-25,MUNTJAC,M,BUCK,,603 395,PLANTATION,PM,,,,,,,,,
,16-Jul-25,,,,,,,PM,,,,,,,,,
,20-Jul-25,MUNTJAC,F,DOE,,612 399,SWILLOW WOOD,PM,,,,,,,,,
,27-Jul-25,MUNTJAC,M,BUCK,,600 401,PERTON PARK,AM,,,,,,,,,
,27-Jul-25,MUNTJAC,F,DOE,,605 407,STOKE EDITH CHURCH,AM,,,,,,,,,
,31-Jul-25,,,,,,TARRINGTON COMMON,PM,,,,,,,,,
,02-Aug-25,,,,,,DEVERAUX PONDS,AM,,,,,,,,,
,04-Aug-25,,,,,,STOKE EDITH FIELDS,PM,,,,,,,,,
,04-Aug-25,ROE,M,BUCK,,609 390,SHEEPCOTE HILL,PM,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,